antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'salary', 'hard worker'})",frozenset({'Technical'}),0.2522,0.50235,0.13025,0.5164551942902459,1.0280784200064614,1.0,0.003557330000000025,1.0291703977039772,0.036522539051210744,0.2086336697100753,0.02834360351702185,0.38786828590793776
frozenset({'Technical'}),"frozenset({'salary', 'hard worker'})",0.50235,0.2522,0.13025,0.2592813775256296,1.0280784200064614,1.0,0.003557330000000025,1.0095601451222789,0.05488105034159629,0.2086336697100753,0.009469614235931526,0.38786828590793776
"frozenset({'hard worker', 'gentle'})",frozenset({'salary'}),0.25005,0.5039,0.12945,0.5176964607078585,1.0273793623890821,1.0,0.0034498050000000002,1.0286053482587065,0.0355353161048898,0.20728582866293035,0.027809838153312737,0.3872963351366242
frozenset({'salary'}),"frozenset({'hard worker', 'gentle'})",0.5039,0.25005,0.12945,0.25689620956538994,1.027379362389082,1.0,0.0034498050000000002,1.0092129923888369,0.05371842433554144,0.20728582866293035,0.009128888013054136,0.3872963351366242
"frozenset({'gentle', 'Technical'})",frozenset({'salary'}),0.25185,0.5039,0.1303,0.517371451260671,1.026734374401014,1.0,0.0033927849999999815,1.0279126696832577,0.03480352585238504,0.20833000239827323,0.027154709253519357,0.3879772517267832
frozenset({'salary'}),"frozenset({'gentle', 'Technical'})",0.5039,0.25185,0.1303,0.2585830521928954,1.026734374401014,1.0,0.0033927849999999815,1.0090813302997856,0.0524859057981493,0.20833000239827323,0.008999601941984072,0.3879772517267832
"frozenset({'gentle', 'Technical'})",frozenset({'hard worker'}),0.25185,0.49765,0.12855,0.5104228707564026,1.0256663734681053,1.0,0.0032168474999999808,1.0260895985401461,0.03344796589268679,0.20702149931556482,0.0254262381932967,0.38436847345717245
frozenset({'hard worker'}),"frozenset({'gentle', 'Technical'})",0.49765,0.25185,0.12855,0.25831407615794233,1.0256663734681053,1.0,0.0032168474999999808,1.0087153820102952,0.04981406525851223,0.20702149931556482,0.00864008040893178,0.38436847345717245
frozenset({'work'}),"frozenset({'stubborn', 'Management'})",0.4961,0.24795,0.1261,0.2541826244708728,1.0251366181523405,1.0,0.003092004999999995,1.0083567702702703,0.04866096784494102,0.20406181729913422,0.008287513424470188,0.3813764503681244
"frozenset({'stubborn', 'Management'})",frozenset({'work'}),0.24795,0.4961,0.1261,0.508570276265376,1.0251366181523403,1.0,0.003092004999999995,1.0253755026672136,0.03260456312355001,0.20406181729913422,0.024747521860242115,0.3813764503681244
frozenset({'salary'}),"frozenset({'no', 'gentle', 'yes'})",0.5039,0.2513,0.1298,0.25759079182377453,1.0250329957173678,1.0,0.0031699299999999875,1.0084734830259288,0.049227270087266,0.20754716981132074,0.00840228639478364,0.38705245918287806
"frozenset({'no', 'gentle', 'yes'})",frozenset({'salary'}),0.2513,0.5039,0.1298,0.5165141265419816,1.0250329957173676,1.0,0.0031699299999999875,1.0260899588477363,0.032618737398547704,0.20754716981132074,0.025426580411170276,0.38705245918287806
